scene_id,scenario_type,method,message,target_id,choice_id,listener,confidence,reason_code,auto_error_category,notes
po_000005,partial_observability,hybrid_local_mirror_api_eval,Small green sphere.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,
po_000005,partial_observability,hybrid_local_mirror_api_eval,Small green sphere.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,
po_000023,partial_observability,hybrid_local_mirror_api_eval,It’s a small blue sphere.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,
po_000023,partial_observability,hybrid_local_mirror_api_eval,It’s a small blue sphere.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,
po_000031,partial_observability,hybrid_local_mirror_api_eval,It’s a small green sphere.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,
po_000031,partial_observability,hybrid_local_mirror_api_eval,It’s a small green sphere.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,
po_000027,partial_observability,hybrid_local_mirror_api_eval,It’s a large red cylinder.,obj_1,obj_2,L_test_direct_last_api,0.9,attribute,listener_misparse_or_other,
po_000027,partial_observability,hybrid_local_mirror_api_eval,It’s a large red cylinder.,obj_1,obj_2,L_test_strict_last_api,0.9,attribute,listener_misparse_or_other,
po_000026,partial_observability,hybrid_local_mirror_api_eval,Large blue cube.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,
po_000026,partial_observability,hybrid_local_mirror_api_eval,Large blue cube.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,
po_000018,partial_observability,hybrid_local_mirror_api_eval,Small red sphere.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,
po_000018,partial_observability,hybrid_local_mirror_api_eval,Small red sphere.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,
po_000037,partial_observability,hybrid_local_mirror_api_eval,It’s a large red sphere.,obj_1,obj_2,L_test_direct_last_api,0.9,attribute,listener_misparse_or_other,
po_000037,partial_observability,hybrid_local_mirror_api_eval,It’s a large red sphere.,obj_1,obj_2,L_test_strict_last_api,0.9,attribute,listener_misparse_or_other,
po_000008,partial_observability,hybrid_local_mirror_api_eval,Small blue cube.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,
po_000008,partial_observability,hybrid_local_mirror_api_eval,Small blue cube.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,
po_000013,partial_observability,hybrid_local_mirror_api_eval,Large yellow cube.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,
po_000013,partial_observability,hybrid_local_mirror_api_eval,Large yellow cube.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,
po_000034,partial_observability,hybrid_local_mirror_api_eval,Small green cube.,obj_1,obj_2,L_test_direct_last_api,0.0,ambiguous,underspecified,
po_000034,partial_observability,hybrid_local_mirror_api_eval,Small green cube.,obj_1,obj_2,L_test_strict_last_api,0.0,ambiguous,underspecified,
